AE_FAETC	﻿AE_FCTAE	﻿DAE_FAETC	﻿DAE_FCTAE	﻿VAE_FCTAE	﻿LSTMVAE_FCTAE
0.7663878	0.7989517	0.7532231	0.794033	0.73656	0.4727026
0.7676835	0.8052115	0.7563619	0.8056647	0.7399893	0.4756525
0.7621207	0.8019024	0.7594553	0.7995865	0.7380597	0.4718643
0.7733462	0.8157678	0.7525584	0.7820629	0.7495614	0.4635589
0.7675834	0.7945885	0.7487293	0.786384	0.7558608	0.4793765
0.7461658	0.819115	0.7492135	0.7954261	0.7513054	0.4613873
0.7597422	0.8043023	0.7440258	0.7985005	0.7519942	0.4629963
0.7563764	0.8144615	0.752472	0.7922929	0.7433741	0.4653092
0.7619438	0.8061806	0.7362969	0.79484	0.7291959	0.4717958
0.769744	0.8206591	0.7606681	0.8013052	0.7450379	0.4745232
0.7601137	0.8057421	0.7808652	0.8022179	0.7317692	0.4752839
0.7770244	0.7979146	0.7486006	0.786033	0.7382499	0.4738429
0.7786453	0.8153197	0.7620518	0.8102876	0.7398166	0.4763239
0.7430794	0.8033851	0.7535825	0.792189	0.7516091	0.4642153
0.745431	0.8177235	0.7502729	0.7864014	0.7268284	0.4669012
