AE_FAETC	AE_FCTAE	DAE_FAETC	DAE_FCTAE	VAE_FCTAE	SVAE_FCTAE	MMDVAE
0.7663878	0.7989517	0.7532231	0.794033	0.73656	0.1446349	0.7693944
0.7676835	0.8052115	0.7563619	0.8056647	0.7399893	0.1476268	0.7669013
0.7621207	0.8019024	0.7594553	0.7995865	0.7380597	0.1439772	0.7648696
0.7733462	0.8157678	0.7525584	0.7820629	0.7495614	0.1449869	0.773621
0.7675834	0.7945885	0.7487293	0.786384	0.7558608	0.1426768	0.7688301
0.7461658	0.819115	0.7492135	0.7954261	0.7513054	0.1441335	0.7701539
0.7597422	0.8043023	0.7440258	0.7985005	0.7519942	0.1454644	0.7788758
0.7563764	0.8144615	0.752472	0.7922929	0.7433741	0.1445391	0.7588445
0.7619438	0.8061806	0.7362969	0.79484	0.7291959	0.1464022	0.7812886
0.769744	0.8206591	0.7606681	0.8013052	0.7450379	0.1442522	0.7767993
0.7601137	0.8057421	0.7808652	0.8022179	0.7317692	0.144736	0.7541721
0.7770244	0.7979146	0.7486006	0.786033	0.7382499	0.1463762	0.7843395
0.7786453	0.8153197	0.7620518	0.8102876	0.7398166	0.1460983	0.7699724
0.7430794	0.8033851	0.7535825	0.792189	0.7516091	0.1452362	0.7568668
0.745431	0.8177235	0.7502729	0.7864014	0.7268284	0.1466617	0.7630444
