AE_FAETC	AE_FCTAE	DAE_FAETC	DAE_FCTAE	VAE_FCTAE	SVAE_FCTAE	MMDVAE
0.7686	0.7753077	0.78601	0.8219333	0.7515	0.1394502	0.7730121
0.7666667	0.7911071	0.782693	0.8166	0.7611857	0.140757	0.7977426
0.75355	0.7876333	0.788011	0.8121667	0.7651143	0.1431498	0.7798642
0.7576	0.7868333	0.7756981	0.8264	0.7584012	0.1415014	0.7858825
0.7420833	0.793095	0.7764907	0.8163333	0.7577496	0.1395166	0.7952274
0.7601	0.7917452	0.7704681	0.8122667	0.7632258	0.141685	0.7718819
0.7503833	0.7896333	0.7619731	0.8235	0.7605238	0.143795	0.7864952
0.763819	0.769219	0.7753311	0.8115667	0.7674	0.1435649	0.7832477
0.7649667	0.7795667	0.7807456	0.8183	0.7581286	0.1391856	0.7786722
0.7444429	0.794719	0.7599756	0.8188286	0.7734583	0.1414697	0.7827006
