"subjects"	"cluster.id"
"1"	"subject1"	4
"2"	"subject2"	1
"3"	"subject3"	2
"4"	"subject4"	3
"5"	"subject5"	1
"6"	"subject6"	1
"7"	"subject7"	2
"8"	"subject8"	2
"9"	"subject9"	3
"10"	"subject10"	1
"11"	"subject11"	4
"12"	"subject12"	4
"13"	"subject13"	2
"14"	"subject14"	1
"15"	"subject15"	3
"16"	"subject16"	1
"17"	"subject17"	2
"18"	"subject18"	1
"19"	"subject19"	1
"20"	"subject20"	1
"21"	"subject21"	4
"22"	"subject22"	4
"23"	"subject23"	5
"24"	"subject24"	2
"25"	"subject25"	1
"26"	"subject26"	1
"27"	"subject27"	5
"28"	"subject28"	2
"29"	"subject29"	5
"30"	"subject30"	2
"31"	"subject31"	4
"32"	"subject32"	2
"33"	"subject33"	3
"34"	"subject34"	3
"35"	"subject35"	1
"36"	"subject36"	1
"37"	"subject37"	4
"38"	"subject38"	2
"39"	"subject39"	2
"40"	"subject40"	4
"41"	"subject41"	5
"42"	"subject42"	1
"43"	"subject43"	3
"44"	"subject44"	3
"45"	"subject45"	2
"46"	"subject46"	1
"47"	"subject47"	1
"48"	"subject48"	3
"49"	"subject49"	4
"50"	"subject50"	3
"51"	"subject51"	5
"52"	"subject52"	3
"53"	"subject53"	5
"54"	"subject54"	3
"55"	"subject55"	5
"56"	"subject56"	4
"57"	"subject57"	1
"58"	"subject58"	4
"59"	"subject59"	3
"60"	"subject60"	3
"61"	"subject61"	4
"62"	"subject62"	4
"63"	"subject63"	2
"64"	"subject64"	5
"65"	"subject65"	3
"66"	"subject66"	3
"67"	"subject67"	2
"68"	"subject68"	1
"69"	"subject69"	5
"70"	"subject70"	5
"71"	"subject71"	2
"72"	"subject72"	2
"73"	"subject73"	1
"74"	"subject74"	3
"75"	"subject75"	4
"76"	"subject76"	3
"77"	"subject77"	2
"78"	"subject78"	3
"79"	"subject79"	2
"80"	"subject80"	3
"81"	"subject81"	3
"82"	"subject82"	4
"83"	"subject83"	1
"84"	"subject84"	1
"85"	"subject85"	4
"86"	"subject86"	5
"87"	"subject87"	1
"88"	"subject88"	1
"89"	"subject89"	4
"90"	"subject90"	1
"91"	"subject91"	4
"92"	"subject92"	4
"93"	"subject93"	2
"94"	"subject94"	2
"95"	"subject95"	4
"96"	"subject96"	5
"97"	"subject97"	5
"98"	"subject98"	5
"99"	"subject99"	1
"100"	"subject100"	5
