AE_FAETC	AE_FCTAE	DAE_FAETC	DAE_FCTAE	VAE_FCTAE	SVAE_FCTAE	MMDVAE
0.6984714	0.8044458	0.7174208	0.7614335	0.5720803	0.1717651	0.5756833
0.6989579	0.8013156	0.7122	0.7568302	0.59037	0.169849	0.5809026
0.6882084	0.80015	0.7127959	0.7408053	0.5962752	0.1741891	0.5772947
0.7061886	0.8184346	0.7277872	0.7752803	0.59504	0.1751869	0.5817503
0.7073887	0.8111848	0.7339081	0.7475007	0.5906907	0.1644546	0.5758576
0.6975861	0.8062313	0.7257753	0.7472327	0.5973288	0.1699559	0.5731242
0.7098617	0.7906234	0.7242341	0.7605989	0.5824521	0.1677477	0.6022102
0.6833862	0.8135404	0.7478117	0.7771783	0.5777002	0.1686085	0.5614004
0.6878907	0.8106368	0.7214738	0.7548356	0.5760935	0.1709532	0.5871962
0.6892522	0.8117914	0.7273241	0.739899	0.5942196	0.1687063	0.5715506
0.6986022	0.8140033	0.71944	0.7591539	0.5974844	0.1714796	0.5723577
0.7050601	0.8142434	0.7285582	0.749267	0.5817914	0.172859	0.5820106
0.6978812	0.8045645	0.7364349	0.758425	0.5936526	0.170568	0.5728492
0.6973418	0.8171516	0.7415543	0.7679712	0.5941234	0.1749866	0.5845777
0.7198114	0.819396	0.7486772	0.7303447	0.592558	0.1687736	0.5796479
