"subjects"	"cluster.id"
"1"	"subject1"	5
"2"	"subject2"	4
"3"	"subject3"	1
"4"	"subject4"	1
"5"	"subject5"	4
"6"	"subject6"	5
"7"	"subject7"	3
"8"	"subject8"	1
"9"	"subject9"	2
"10"	"subject10"	4
"11"	"subject11"	3
"12"	"subject12"	1
"13"	"subject13"	3
"14"	"subject14"	1
"15"	"subject15"	4
"16"	"subject16"	5
"17"	"subject17"	5
"18"	"subject18"	5
"19"	"subject19"	3
"20"	"subject20"	5
"21"	"subject21"	5
"22"	"subject22"	5
"23"	"subject23"	1
"24"	"subject24"	1
"25"	"subject25"	5
"26"	"subject26"	1
"27"	"subject27"	2
"28"	"subject28"	1
"29"	"subject29"	1
"30"	"subject30"	1
"31"	"subject31"	1
"32"	"subject32"	1
"33"	"subject33"	5
"34"	"subject34"	3
"35"	"subject35"	1
"36"	"subject36"	3
"37"	"subject37"	1
"38"	"subject38"	1
"39"	"subject39"	3
"40"	"subject40"	1
"41"	"subject41"	2
"42"	"subject42"	5
"43"	"subject43"	5
"44"	"subject44"	1
"45"	"subject45"	5
"46"	"subject46"	1
"47"	"subject47"	2
"48"	"subject48"	5
"49"	"subject49"	4
"50"	"subject50"	5
"51"	"subject51"	1
"52"	"subject52"	3
"53"	"subject53"	1
"54"	"subject54"	5
"55"	"subject55"	1
"56"	"subject56"	1
"57"	"subject57"	2
"58"	"subject58"	3
"59"	"subject59"	1
"60"	"subject60"	1
"61"	"subject61"	3
"62"	"subject62"	1
"63"	"subject63"	2
"64"	"subject64"	2
"65"	"subject65"	5
"66"	"subject66"	5
"67"	"subject67"	3
"68"	"subject68"	1
"69"	"subject69"	4
"70"	"subject70"	5
"71"	"subject71"	2
"72"	"subject72"	2
"73"	"subject73"	2
"74"	"subject74"	3
"75"	"subject75"	4
"76"	"subject76"	2
"77"	"subject77"	4
"78"	"subject78"	1
"79"	"subject79"	2
"80"	"subject80"	3
"81"	"subject81"	1
"82"	"subject82"	5
"83"	"subject83"	5
"84"	"subject84"	5
"85"	"subject85"	1
"86"	"subject86"	5
"87"	"subject87"	1
"88"	"subject88"	1
"89"	"subject89"	2
"90"	"subject90"	1
"91"	"subject91"	3
"92"	"subject92"	1
"93"	"subject93"	3
"94"	"subject94"	3
"95"	"subject95"	3
"96"	"subject96"	3
"97"	"subject97"	3
"98"	"subject98"	1
"99"	"subject99"	5
"100"	"subject100"	5
