"subjects"	"cluster.id"
"1"	"subject1"	7
"2"	"subject2"	7
"3"	"subject3"	12
"4"	"subject4"	2
"5"	"subject5"	5
"6"	"subject6"	15
"7"	"subject7"	7
"8"	"subject8"	10
"9"	"subject9"	15
"10"	"subject10"	8
"11"	"subject11"	13
"12"	"subject12"	4
"13"	"subject13"	3
"14"	"subject14"	7
"15"	"subject15"	15
"16"	"subject16"	10
"17"	"subject17"	2
"18"	"subject18"	2
"19"	"subject19"	9
"20"	"subject20"	14
"21"	"subject21"	2
"22"	"subject22"	13
"23"	"subject23"	10
"24"	"subject24"	10
"25"	"subject25"	13
"26"	"subject26"	8
"27"	"subject27"	1
"28"	"subject28"	9
"29"	"subject29"	10
"30"	"subject30"	11
"31"	"subject31"	12
"32"	"subject32"	15
"33"	"subject33"	9
"34"	"subject34"	2
"35"	"subject35"	12
"36"	"subject36"	14
"37"	"subject37"	6
"38"	"subject38"	11
"39"	"subject39"	3
"40"	"subject40"	1
"41"	"subject41"	5
"42"	"subject42"	8
"43"	"subject43"	6
"44"	"subject44"	2
"45"	"subject45"	13
"46"	"subject46"	11
"47"	"subject47"	5
"48"	"subject48"	4
"49"	"subject49"	8
"50"	"subject50"	7
"51"	"subject51"	5
"52"	"subject52"	1
"53"	"subject53"	1
"54"	"subject54"	12
"55"	"subject55"	14
"56"	"subject56"	15
"57"	"subject57"	3
"58"	"subject58"	9
"59"	"subject59"	5
"60"	"subject60"	10
"61"	"subject61"	1
"62"	"subject62"	13
"63"	"subject63"	11
"64"	"subject64"	6
"65"	"subject65"	5
"66"	"subject66"	3
"67"	"subject67"	4
"68"	"subject68"	6
"69"	"subject69"	6
"70"	"subject70"	8
"71"	"subject71"	3
"72"	"subject72"	9
"73"	"subject73"	11
"74"	"subject74"	6
"75"	"subject75"	14
"76"	"subject76"	14
"77"	"subject77"	7
"78"	"subject78"	13
"79"	"subject79"	6
"80"	"subject80"	4
"81"	"subject81"	9
"82"	"subject82"	15
"83"	"subject83"	13
"84"	"subject84"	11
"85"	"subject85"	12
"86"	"subject86"	11
"87"	"subject87"	2
"88"	"subject88"	5
"89"	"subject89"	3
"90"	"subject90"	9
"91"	"subject91"	15
"92"	"subject92"	14
"93"	"subject93"	4
"94"	"subject94"	1
"95"	"subject95"	1
"96"	"subject96"	7
"97"	"subject97"	8
"98"	"subject98"	12
"99"	"subject99"	4
"100"	"subject100"	3
