"subjects"	"cluster.id"
"1"	"subject1"	4
"2"	"subject2"	7
"3"	"subject3"	3
"4"	"subject4"	1
"5"	"subject5"	5
"6"	"subject6"	4
"7"	"subject7"	3
"8"	"subject8"	3
"9"	"subject9"	10
"10"	"subject10"	4
"11"	"subject11"	5
"12"	"subject12"	5
"13"	"subject13"	9
"14"	"subject14"	3
"15"	"subject15"	10
"16"	"subject16"	5
"17"	"subject17"	6
"18"	"subject18"	8
"19"	"subject19"	2
"20"	"subject20"	2
"21"	"subject21"	1
"22"	"subject22"	7
"23"	"subject23"	3
"24"	"subject24"	1
"25"	"subject25"	1
"26"	"subject26"	5
"27"	"subject27"	9
"28"	"subject28"	10
"29"	"subject29"	3
"30"	"subject30"	2
"31"	"subject31"	8
"32"	"subject32"	2
"33"	"subject33"	8
"34"	"subject34"	1
"35"	"subject35"	10
"36"	"subject36"	2
"37"	"subject37"	8
"38"	"subject38"	9
"39"	"subject39"	6
"40"	"subject40"	8
"41"	"subject41"	2
"42"	"subject42"	6
"43"	"subject43"	8
"44"	"subject44"	6
"45"	"subject45"	5
"46"	"subject46"	2
"47"	"subject47"	7
"48"	"subject48"	4
"49"	"subject49"	4
"50"	"subject50"	1
"51"	"subject51"	5
"52"	"subject52"	8
"53"	"subject53"	6
"54"	"subject54"	1
"55"	"subject55"	3
"56"	"subject56"	2
"57"	"subject57"	6
"58"	"subject58"	9
"59"	"subject59"	1
"60"	"subject60"	1
"61"	"subject61"	9
"62"	"subject62"	1
"63"	"subject63"	4
"64"	"subject64"	6
"65"	"subject65"	8
"66"	"subject66"	6
"67"	"subject67"	1
"68"	"subject68"	9
"69"	"subject69"	8
"70"	"subject70"	1
"71"	"subject71"	10
"72"	"subject72"	1
"73"	"subject73"	4
"74"	"subject74"	5
"75"	"subject75"	2
"76"	"subject76"	10
"77"	"subject77"	6
"78"	"subject78"	8
"79"	"subject79"	6
"80"	"subject80"	4
"81"	"subject81"	3
"82"	"subject82"	10
"83"	"subject83"	3
"84"	"subject84"	9
"85"	"subject85"	5
"86"	"subject86"	4
"87"	"subject87"	9
"88"	"subject88"	9
"89"	"subject89"	9
"90"	"subject90"	5
"91"	"subject91"	1
"92"	"subject92"	7
"93"	"subject93"	10
"94"	"subject94"	1
"95"	"subject95"	7
"96"	"subject96"	10
"97"	"subject97"	4
"98"	"subject98"	10
"99"	"subject99"	3
"100"	"subject100"	2
