"subjects"	"cluster.id"
"1"	"subject1"	2
"2"	"subject2"	5
"3"	"subject3"	1
"4"	"subject4"	7
"5"	"subject5"	4
"6"	"subject6"	1
"7"	"subject7"	6
"8"	"subject8"	1
"9"	"subject9"	6
"10"	"subject10"	9
"11"	"subject11"	5
"12"	"subject12"	2
"13"	"subject13"	3
"14"	"subject14"	1
"15"	"subject15"	5
"16"	"subject16"	5
"17"	"subject17"	10
"18"	"subject18"	6
"19"	"subject19"	6
"20"	"subject20"	3
"21"	"subject21"	6
"22"	"subject22"	5
"23"	"subject23"	2
"24"	"subject24"	6
"25"	"subject25"	1
"26"	"subject26"	4
"27"	"subject27"	1
"28"	"subject28"	7
"29"	"subject29"	2
"30"	"subject30"	5
"31"	"subject31"	7
"32"	"subject32"	2
"33"	"subject33"	2
"34"	"subject34"	4
"35"	"subject35"	3
"36"	"subject36"	8
"37"	"subject37"	8
"38"	"subject38"	4
"39"	"subject39"	8
"40"	"subject40"	5
"41"	"subject41"	9
"42"	"subject42"	4
"43"	"subject43"	4
"44"	"subject44"	3
"45"	"subject45"	8
"46"	"subject46"	1
"47"	"subject47"	5
"48"	"subject48"	6
"49"	"subject49"	1
"50"	"subject50"	3
"51"	"subject51"	8
"52"	"subject52"	7
"53"	"subject53"	5
"54"	"subject54"	4
"55"	"subject55"	1
"56"	"subject56"	7
"57"	"subject57"	5
"58"	"subject58"	9
"59"	"subject59"	8
"60"	"subject60"	6
"61"	"subject61"	5
"62"	"subject62"	1
"63"	"subject63"	2
"64"	"subject64"	2
"65"	"subject65"	6
"66"	"subject66"	5
"67"	"subject67"	1
"68"	"subject68"	4
"69"	"subject69"	5
"70"	"subject70"	9
"71"	"subject71"	5
"72"	"subject72"	6
"73"	"subject73"	1
"74"	"subject74"	1
"75"	"subject75"	10
"76"	"subject76"	1
"77"	"subject77"	7
"78"	"subject78"	7
"79"	"subject79"	1
"80"	"subject80"	1
"81"	"subject81"	7
"82"	"subject82"	4
"83"	"subject83"	8
"84"	"subject84"	9
"85"	"subject85"	1
"86"	"subject86"	1
"87"	"subject87"	6
"88"	"subject88"	2
"89"	"subject89"	7
"90"	"subject90"	1
"91"	"subject91"	5
"92"	"subject92"	6
"93"	"subject93"	2
"94"	"subject94"	3
"95"	"subject95"	6
"96"	"subject96"	3
"97"	"subject97"	7
"98"	"subject98"	1
"99"	"subject99"	4
"100"	"subject100"	8
